num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_pil,edad_fall,g_edad,edad_m1,tipo_vehi,color_vehi,modelo_vehi,causa_acc
76,2,Febrero,Lunes,8,Zacapa,Rural,Hombre,16,25-29,Menor,Bus extraurbano,Blanco,IGNORADO,Colisión
77,2,Febrero,Lunes,8,Zacapa,Rural,Hombre,20,30-34,Mayor,Bus extraurbano,Blanco,IGNORADO,Colisión
78,2,Febrero,Lunes,8,Zacapa,Rural,Hombre,34,35-39,Mayor,Bus extraurbano,Blanco,IGNORADO,Colisión
79,2,Febrero,Lunes,8,Zacapa,Rural,Hombre,42,40-44,Mayor,Bus extraurbano,Blanco,IGNORADO,Colisión
405,10,Junio,Miércoles,8,Sacatepéquez,Rural,Hombre,55,50-54,Mayor,Automovil,Blanco,IGNORADO,Colisión
510,28,Julio,Martes,8,San Marcos,Rural,Mujer,46,45-49,Mayor,Pick up,Blanco,IGNORADO,Colisión
673,2,Septiembre,Miércoles,8,Zacapa,Rural,Hombre,49,45-49,Mayor,Automovil,Blanco,IGNORADO,Colisión
674,2,Septiembre,Miércoles,8,Zacapa,Rural,Mujer,25,35-39,Mayor,Automovil,Blanco,IGNORADO,Colisión
535,3,Agosto,Lunes,8,Huehutenango,Rural,Mujer,55,50-54,Mayor,Pick up,Gris,IGNORADO,Colisión
588,3,Agosto,Lunes,8,Huehutenango,Rural,Mujer,55,50-54,Mayor,Pick up,Gris,IGNORADO,Colisión
612,3,Agosto,Lunes,8,Huehutenango,Rural,Mujer,55,50-54,Mayor,Pick up,Gris,IGNORADO,Colisión
664,28,Agosto,Viernes,8,Suchitepéquez,Urbano,Hombre,17,25-29,Menor,Motocicleta,Gris,IGNORADO,Embarranco
665,28,Agosto,Viernes,8,Suchitepéquez,Urbano,Hombre,16,25-29,Menor,Motocicleta,Gris,IGNORADO,Embarranco
832,12,Diciembre,Sábado,8,Chimaltenango,Rural,Hombre,11,20-24,Menor,Motocicleta,Negro,IGNORADO,Colisión
524,2,Agosto,Domingo,8,Guatemala,Urbano,Hombre,58,50-54,Mayor,Cabezal,Amarillo,IGNORADO,Empotro
525,2,Agosto,Domingo,8,Guatemala,Urbano,Hombre,62,50-54,Mayor,Cabezal,Amarillo,IGNORADO,Empotro
577,2,Agosto,Domingo,8,Guatemala,Urbano,Hombre,58,50-54,Mayor,Cabezal,Amarillo,IGNORADO,Empotro
578,2,Agosto,Domingo,8,Guatemala,Urbano,Hombre,62,50-54,Mayor,Cabezal,Amarillo,IGNORADO,Empotro
601,2,Agosto,Domingo,8,Guatemala,Urbano,Hombre,58,50-54,Mayor,Cabezal,Amarillo,IGNORADO,Empotro
602,2,Agosto,Domingo,8,Guatemala,Urbano,Hombre,62,50-54,Mayor,Cabezal,Amarillo,IGNORADO,Empotro
174,8,Marzo,Domingo,8,Jutiapa,Urbano,Mujer,11,20-24,Menor,Bus extraurbano,Corinto,IGNORADO,Embarranco
175,8,Marzo,Domingo,8,Jutiapa,Urbano,Hombre,25,35-39,Mayor,Bus extraurbano,Corinto,IGNORADO,Embarranco
330,3,Mayo,Domingo,8,Guatemala,Rural,Hombre,34,35-39,Mayor,Pick up,Corinto,IGNORADO,Volco
445,25,Junio,Viernes,8,Guatemala,Urbano,Hombre,58,50-54,Mayor,Motocicleta,Corinto,IGNORADO,Colisión
274,13,Abril,Lunes,8,El Progreso,Rural,Hombre,34,35-39,Mayor,Automovil,Ignorado,IGNORADO,Embarranco
